ticket_id,customer_id,created_date,resolved_date,priority,category,resolution_time
TKT200078,CUST1012,2024-10-26,2024-10-26,Low,Integration,13.68
TKT200079,CUST1012,2024-03-06,2024-03-06,Critical,Billing,4.89
TKT200080,CUST1012,2024-11-26,2024-11-26,Critical,Billing,4.75
TKT200081,CUST1034,2024-04-08,2024-04-08,Low,Onboarding,23.34
TKT200082,CUST1034,2023-01-13,2023-01-16,Low,Technical Issue,90.54
TKT200083,CUST1034,2025-10-01,2025-10-03,Low,Billing,71.76
TKT200084,CUST1034,2024-03-08,,Medium,Bug Report,
TKT200085,CUST1034,2024-07-15,2024-07-15,Critical,Bug Report,3.24
TKT200086,CUST1034,2023-10-07,,Critical,Feature Request,
TKT200087,CUST1034,2023-02-17,2023-02-18,Low,Onboarding,32.06
TKT200088,CUST1016,2024-10-06,2024-10-07,Low,Account Access,34.92
TKT200089,CUST1016,2024-11-27,,Medium,Integration,
TKT200090,CUST1016,2025-11-02,2025-11-04,Low,Technical Issue,60.19
TKT200091,CUST1016,2024-12-21,2024-12-21,Medium,Account Access,5.58
TKT200092,CUST1016,2024-06-10,2024-06-13,Low,Integration,79.46
TKT200093,CUST1040,2024-10-01,2024-10-01,Medium,Account Access,19.05
TKT200094,CUST1040,2023-11-02,2023-11-03,Medium,Onboarding,25.51
TKT200095,CUST1040,2022-11-05,2022-11-05,High,Billing,22.01
TKT200096,CUST1040,2022-07-02,2022-07-02,High,Billing,19.54
TKT200097,CUST1017,2023-06-25,2023-06-25,Medium,Integration,10.78
TKT200098,CUST1017,2022-12-23,,High,Integration,
TKT200099,CUST1017,2024-05-26,2024-05-26,High,Account Access,15.2
TKT200100,CUST1017,2025-01-26,2025-01-26,Medium,Bug Report,18.56
TKT200101,CUST1036,2023-03-04,2023-03-04,Low,Billing,23.65
TKT200102,CUST1036,2023-07-13,,Low,Integration,
TKT200103,CUST1042,2023-11-27,2023-11-30,Low,Account Access,72.23
TKT200104,CUST1042,2025-07-26,2025-07-29,Low,Onboarding,80.67
TKT200105,CUST1042,2025-12-28,2025-12-28,High,Bug Report,11.79
TKT200106,CUST1042,2022-12-10,,Medium,Technical Issue,
TKT200107,CUST1057,2024-02-27,2024-02-29,Low,Account Access,57.53
TKT200108,CUST1057,2023-05-17,2023-05-17,High,Feature Request,2.74
TKT200109,CUST1057,2023-12-16,2023-12-18,Low,Bug Report,65.36
TKT200110,CUST1057,2024-12-28,2024-12-28,Medium,Integration,16.56
TKT200111,CUST1057,2024-08-12,2024-08-12,High,Account Access,13.2
TKT200112,CUST1057,2024-02-03,,Low,Onboarding,
TKT200113,CUST1057,2024-08-10,2024-08-10,High,Onboarding,2.39
TKT200114,CUST1057,2023-02-16,2023-02-17,Medium,Account Access,43.54
TKT200115,CUST1022,2023-03-06,2023-03-09,Low,Account Access,76.8
TKT200116,CUST1022,2023-01-19,2023-01-20,Medium,Feature Request,35.99
TKT200117,CUST1022,2025-05-17,2025-05-17,Medium,Bug Report,17.21
TKT200118,CUST1022,2023-10-01,2023-10-02,Low,Onboarding,26.33
TKT200119,CUST1022,2025-04-16,2025-04-16,High,Onboarding,8.46
TKT200120,CUST1048,2025-04-18,2025-04-18,High,Account Access,11.68
TKT200121,CUST1048,2024-11-09,2024-11-09,Medium,Feature Request,5.08
TKT200122,CUST1048,2024-11-01,2024-11-01,Critical,Billing,5.24
TKT200123,CUST1048,2025-02-17,2025-02-17,High,Bug Report,16.22
TKT200124,CUST1048,2023-09-23,2023-09-23,Low,Feature Request,13.38
TKT200125,CUST1048,2024-08-02,2024-08-04,Low,Integration,53.78
TKT200126,CUST1048,2025-10-11,2025-10-12,Low,Onboarding,27.96
TKT200127,CUST1048,2025-02-14,2025-02-15,Medium,Account Access,41.47
TKT200128,CUST1015,2023-02-05,2023-02-05,Medium,Account Access,8.66
TKT200129,CUST1015,2025-06-08,2025-06-08,Medium,Onboarding,10.23
TKT200130,CUST1015,2023-12-23,2023-12-23,Medium,Technical Issue,4.57
TKT200131,CUST1015,2024-08-29,2024-08-30,Medium,Billing,34.1
TKT200132,CUST1015,2023-06-28,2023-06-28,Medium,Account Access,19.01
TKT200133,CUST1015,2023-06-25,,Medium,Onboarding,
TKT200134,CUST1010,2024-11-05,2024-11-05,Medium,Technical Issue,13.22
TKT200135,CUST1010,2024-07-11,2024-07-12,Medium,Feature Request,43.68
TKT200136,CUST1010,2025-11-19,2025-11-22,Low,Technical Issue,78.68
TKT200137,CUST1010,2024-07-30,2024-07-30,High,Account Access,14.16
TKT200138,CUST1024,2024-02-07,2024-02-07,High,Billing,6.73
TKT200139,CUST1024,2024-07-12,2024-07-12,Medium,Bug Report,8.21
TKT200140,CUST1024,2024-07-29,2024-07-31,Low,Account Access,53.24
TKT200141,CUST1024,2024-04-06,2024-04-07,Low,Integration,44.72
TKT200142,CUST1024,2024-04-27,2024-04-27,High,Onboarding,9.37
TKT200143,CUST1024,2024-02-27,2024-02-27,Low,Bug Report,12.26
TKT200144,CUST1024,2025-06-24,2025-06-25,Medium,Onboarding,38.48
TKT200145,CUST1024,2024-07-14,2024-07-15,Medium,Account Access,27.6
TKT200146,CUST1024,2023-10-30,2023-10-30,Critical,Account Access,4.98
TKT200147,CUST1038,2023-04-19,2023-04-19,High,Feature Request,5.48
TKT200148,CUST1038,2024-05-07,2024-05-07,High,Billing,10.73
TKT200149,CUST1038,2024-08-17,,Low,Account Access,
TKT200150,CUST1038,2025-04-27,2025-04-29,Low,Technical Issue,51.05
TKT200151,CUST1038,2025-06-17,2025-06-18,Medium,Integration,28.43
TKT200152,CUST1038,2024-09-19,2024-09-20,Low,Account Access,34.98
TKT200153,CUST1041,2025-08-12,2025-08-14,Low,Billing,61.26
TKT200154,CUST1041,2023-10-07,2023-10-08,Low,Technical Issue,39.43
TKT200155,CUST1041,2024-11-02,,High,Onboarding,
TKT200156,CUST1041,2024-11-20,2024-11-20,Medium,Billing,18.37
TKT200157,CUST1041,2024-08-28,,Low,Bug Report,
TKT200158,CUST1041,2023-05-21,2023-05-21,High,Billing,17.41
TKT200159,CUST1018,2023-08-12,2023-08-14,Low,Technical Issue,55.91
TKT200160,CUST1018,2023-06-24,2023-06-24,High,Onboarding,23.36
TKT200161,CUST1018,2024-03-07,2024-03-07,High,Bug Report,12.33
TKT200162,CUST1018,2024-05-21,2024-05-21,Medium,Integration,21.42
TKT200163,CUST1005,2023-08-08,2023-08-08,High,Integration,11.32
TKT200164,CUST1005,2024-01-31,2024-01-31,Low,Billing,16.75
TKT200165,CUST1044,2023-08-09,2023-08-10,Medium,Billing,34.68
TKT200166,CUST1044,2024-01-27,2024-01-27,High,Technical Issue,22.85
TKT200167,CUST1044,2024-11-10,2024-11-11,Low,Onboarding,44.55
TKT200168,CUST1044,2023-07-06,,Medium,Account Access,
TKT200169,CUST1044,2025-05-30,2025-05-30,Medium,Billing,6.99
TKT200170,CUST1044,2024-01-16,2024-01-18,Low,Billing,53.28
TKT200171,CUST1023,2025-03-12,2025-03-12,High,Onboarding,12.71
TKT200172,CUST1023,2024-02-28,2024-02-28,Low,Bug Report,12.62
TKT200173,CUST1023,2024-05-09,2024-05-10,Low,Integration,43.44
TKT200174,CUST1023,2024-02-17,2024-02-17,High,Feature Request,6.89
TKT200175,CUST1023,2024-08-31,,Low,Bug Report,
TKT200176,CUST1023,2025-05-23,2025-05-24,Medium,Billing,37.88
TKT200177,CUST1023,2023-09-06,2023-09-06,Medium,Technical Issue,8.7
TKT200178,CUST1023,2024-02-15,2024-02-15,High,Account Access,17.92
TKT200179,CUST1023,2025-06-15,2025-06-17,Low,Onboarding,61.83
TKT200180,CUST1028,2023-09-21,2023-09-21,Medium,Integration,14.11
TKT200181,CUST1028,2024-04-11,,Low,Integration,
TKT200182,CUST1028,2024-01-29,2024-01-29,High,Onboarding,5.75
TKT200183,CUST1035,2025-11-09,2025-11-12,Low,Technical Issue,94.68
TKT200184,CUST1035,2025-03-20,2025-03-21,Medium,Account Access,30.26
TKT200185,CUST1009,2024-08-17,,Low,Billing,
TKT200186,CUST1009,2025-09-01,2025-09-01,Low,Billing,12.94
TKT200187,CUST1009,2024-10-12,2024-10-13,Medium,Billing,36.06
TKT200188,CUST1009,2024-01-30,2024-01-31,Medium,Account Access,32.41
TKT200189,CUST1052,2025-01-04,,Low,Integration,
TKT200190,CUST1052,2024-01-24,2024-01-24,High,Integration,7.95
TKT200191,CUST1052,2024-07-16,2024-07-18,Low,Integration,65.48
TKT200192,CUST1052,2024-01-20,2024-01-20,High,Billing,22.44
TKT200193,CUST1052,2024-03-17,2024-03-17,High,Account Access,11.47
TKT200194,CUST1052,2025-07-12,2025-07-12,Low,Billing,13.89
TKT200195,CUST1052,2025-11-27,2025-11-27,Low,Billing,17.47
TKT200196,CUST1033,2024-02-14,2024-02-15,Medium,Billing,40.54
TKT200197,CUST1033,2025-08-19,2025-08-19,High,Feature Request,16.1
TKT200198,CUST1033,2024-10-21,2024-10-21,High,Account Access,5.66
TKT200199,CUST1033,2024-10-11,2024-10-11,Critical,Integration,1.91
TKT200200,CUST1046,2024-01-19,2024-01-19,Critical,Integration,0.83
TKT200201,CUST1046,2025-04-07,2025-04-08,Medium,Account Access,34.93
TKT200202,CUST1046,2024-03-06,2024-03-06,Low,Integration,19.43
TKT200203,CUST1046,2025-05-15,2025-05-15,Medium,Account Access,20.42
TKT200204,CUST1056,2025-08-27,2025-08-27,Medium,Onboarding,18.11
TKT200205,CUST1056,2024-08-06,2024-08-06,Medium,Integration,20.37
TKT200206,CUST1056,2024-12-05,2024-12-07,Low,Account Access,68.5
TKT200207,CUST1056,2025-08-18,2025-08-19,Medium,Feature Request,46.3
TKT200208,CUST1056,2024-06-29,2024-06-30,Low,Integration,42.13
TKT200209,CUST1056,2025-08-15,,High,Bug Report,
TKT200210,CUST1056,2025-11-11,2025-11-12,Low,Account Access,40.7
TKT200211,CUST1056,2024-07-22,2024-07-22,High,Integration,14.19
TKT200212,CUST1030,2024-09-25,2024-09-25,High,Billing,10.12
TKT200213,CUST1030,2025-07-25,2025-07-26,Medium,Feature Request,26.86
TKT200214,CUST1030,2025-09-13,2025-09-13,Medium,Account Access,11.25
TKT200215,CUST1030,2025-02-04,2025-02-04,Medium,Feature Request,18.32
TKT200216,CUST1030,2025-09-11,2025-09-11,Critical,Technical Issue,4.42
TKT200217,CUST1008,2025-10-14,2025-10-14,Medium,Billing,21.95
TKT200218,CUST1008,2024-10-20,2024-10-20,Medium,Integration,23.96
TKT200219,CUST1008,2024-09-11,2024-09-11,High,Integration,21.54
TKT200220,CUST1008,2024-06-21,2024-06-22,Medium,Feature Request,44.3
TKT200221,CUST1008,2024-11-05,2024-11-05,High,Account Access,7.97
TKT200222,CUST1008,2024-06-09,,Critical,Feature Request,
TKT200223,CUST1008,2024-07-04,2024-07-07,Low,Billing,81.52
TKT200224,CUST1008,2024-11-17,2024-11-17,Medium,Account Access,9.23
TKT200225,CUST1000,2025-05-17,2025-05-19,Low,Feature Request,62.2
TKT200226,CUST1000,2024-10-30,2024-11-01,Low,Account Access,64.02
TKT200227,CUST1000,2025-12-20,2025-12-21,Medium,Onboarding,33.88
TKT200228,CUST1000,2025-02-21,2025-02-21,Medium,Integration,15.25
TKT200229,CUST1007,2025-05-07,2025-05-07,High,Bug Report,18.71
TKT200230,CUST1007,2025-04-04,2025-04-04,Critical,Onboarding,5.64
TKT200231,CUST1007,2024-05-19,2024-05-19,Critical,Feature Request,6.19
TKT200232,CUST1007,2025-10-18,2025-10-19,Low,Account Access,32.61
TKT200233,CUST1007,2024-07-15,2024-07-16,Medium,Onboarding,36.96
TKT200234,CUST1007,2024-05-15,2024-05-17,Low,Onboarding,58.42
TKT200235,CUST1001,2024-12-09,2024-12-09,Medium,Bug Report,8.18
TKT200236,CUST1001,2024-05-30,2024-05-30,Critical,Onboarding,3.83
TKT200237,CUST1001,2025-02-07,2025-02-07,Medium,Account Access,21.08
TKT200238,CUST1001,2024-06-20,2024-06-20,Low,Technical Issue,21.88
TKT200239,CUST1001,2025-08-07,2025-08-08,Low,Feature Request,25.67
TKT200240,CUST1001,2025-07-12,2025-07-13,Low,Technical Issue,25.0
TKT200241,CUST1049,2025-10-12,2025-10-12,Medium,Integration,4.25
TKT200242,CUST1049,2024-12-03,2024-12-03,High,Feature Request,2.01
TKT200243,CUST1049,2025-10-24,2025-10-26,Low,Billing,49.35
TKT200244,CUST1003,2024-10-03,2024-10-03,Low,Bug Report,23.09
TKT200245,CUST1003,2024-07-16,2024-07-16,Medium,Billing,20.13
TKT200246,CUST1003,2025-12-11,2025-12-11,High,Onboarding,9.47
TKT200247,CUST1003,2025-10-20,2025-10-22,Low,Billing,48.65
TKT200248,CUST1003,2024-08-27,2024-08-30,Low,Onboarding,85.73
TKT200249,CUST1003,2025-08-06,2025-08-06,Medium,Technical Issue,14.7
TKT200250,CUST1003,2024-10-23,2024-10-23,Low,Technical Issue,19.26
TKT200251,CUST1029,2025-09-25,2025-09-26,Medium,Onboarding,28.02
TKT200252,CUST1029,2024-09-02,2024-09-02,Critical,Billing,5.42
TKT200253,CUST1029,2024-08-05,2024-08-06,Low,Account Access,24.38
TKT200254,CUST1029,2025-07-31,2025-07-31,Low,Billing,17.04
TKT200255,CUST1029,2025-12-15,,Medium,Integration,
TKT200256,CUST1029,2024-11-13,2024-11-14,Low,Technical Issue,32.47
TKT200257,CUST1029,2025-01-05,2025-01-06,Medium,Technical Issue,25.04
TKT200258,CUST1029,2025-07-28,2025-07-29,Medium,Billing,31.59
TKT200259,CUST1021,2024-10-27,2024-10-28,Medium,Integration,41.75
TKT200260,CUST1021,2024-09-17,,Medium,Technical Issue,
TKT200261,CUST1021,2024-12-18,2024-12-18,Medium,Technical Issue,22.19
TKT200262,CUST1021,2025-10-11,2025-10-11,Low,Integration,17.01
TKT200263,CUST1021,2025-01-25,2025-01-25,High,Feature Request,1.64
TKT200264,CUST1021,2025-03-02,2025-03-03,Medium,Technical Issue,40.8
TKT200265,CUST1021,2025-04-16,2025-04-17,Medium,Account Access,38.78
TKT200266,CUST1021,2025-11-03,2025-11-03,High,Feature Request,4.62
TKT200267,CUST1021,2025-04-25,,High,Billing,
TKT200268,CUST1021,2025-05-28,2025-05-31,Low,Account Access,86.9
TKT200269,CUST1021,2024-09-03,2024-09-03,Medium,Integration,21.3
TKT200270,CUST1051,2025-12-14,2025-12-17,Low,Feature Request,82.25
TKT200271,CUST1051,2025-11-12,2025-11-12,Critical,Integration,4.34
TKT200272,CUST1051,2025-11-04,2025-11-05,Medium,Bug Report,34.59
TKT200273,CUST1051,2025-07-04,2025-07-05,Medium,Billing,29.26
TKT200274,CUST1051,2025-08-21,2025-08-21,Medium,Account Access,19.07
TKT200275,CUST1051,2024-10-03,2024-10-04,Low,Feature Request,34.53
TKT200276,CUST1051,2025-07-02,2025-07-02,Medium,Technical Issue,17.77
TKT200277,CUST1051,2025-06-17,2025-06-20,Low,Feature Request,93.68
TKT200278,CUST1006,2025-05-31,2025-05-31,Medium,Account Access,16.25
TKT200279,CUST1006,2025-08-11,2025-08-13,Low,Integration,63.5
TKT200280,CUST1006,2025-10-07,2025-10-07,Medium,Account Access,12.36
TKT200281,CUST1058,2025-06-24,2025-06-24,Medium,Bug Report,13.0
TKT200282,CUST1058,2024-12-17,2024-12-20,Low,Technical Issue,72.71
TKT200283,CUST1058,2025-01-03,2025-01-04,Medium,Account Access,31.87
TKT200284,CUST1058,2025-11-08,2025-11-08,Medium,Feature Request,14.81
TKT200285,CUST1058,2025-07-07,2025-07-07,Medium,Billing,19.02
TKT200286,CUST1058,2025-01-27,2025-01-28,Low,Onboarding,43.63
TKT200287,CUST1054,2024-09-30,2024-10-03,Low,Onboarding,80.21
TKT200288,CUST1054,2025-05-19,2025-05-19,Critical,Bug Report,4.63
TKT200289,CUST1054,2025-07-16,2025-07-16,Medium,Account Access,15.69
TKT200290,CUST1013,2025-06-10,2025-06-11,Medium,Billing,24.96
TKT200291,CUST1013,2024-12-13,2024-12-14,Low,Billing,42.35
TKT200292,CUST1013,2024-10-24,2024-10-24,High,Feature Request,7.38
TKT200293,CUST1013,2024-12-07,2024-12-07,High,Technical Issue,22.29
TKT200294,CUST1013,2024-10-23,,High,Feature Request,
TKT200295,CUST1013,2025-08-18,2025-08-18,High,Technical Issue,7.54
TKT200296,CUST1020,2025-08-19,2025-08-20,Medium,Feature Request,37.08
TKT200297,CUST1020,2025-12-11,2025-12-11,Low,Integration,13.93
TKT200298,CUST1020,2025-01-27,2025-01-30,Low,Bug Report,93.18
TKT200299,CUST1020,2025-08-18,2025-08-19,Low,Bug Report,25.47
TKT200300,CUST1020,2025-02-22,2025-02-22,High,Onboarding,3.86
TKT200301,CUST1020,2025-01-28,2025-01-30,Low,Technical Issue,63.21
TKT200302,CUST1020,2025-02-27,2025-02-28,Low,Bug Report,32.06
TKT200303,CUST1020,2025-12-21,2025-12-21,Medium,Billing,21.01
TKT200304,CUST1020,2025-12-14,2025-12-16,Low,Account Access,71.84
TKT200305,CUST1047,2025-06-25,,High,Integration,
TKT200306,CUST1047,2025-04-29,2025-05-01,Low,Bug Report,68.56
TKT200307,CUST1047,2025-06-04,2025-06-06,Low,Integration,53.92
TKT200308,CUST1047,2025-07-25,2025-07-25,Medium,Bug Report,20.41
TKT200309,CUST1047,2025-12-03,2025-12-03,Medium,Technical Issue,11.41
TKT200310,CUST1014,2025-06-15,2025-06-15,Medium,Technical Issue,16.06
TKT200311,CUST1014,2025-07-19,,Medium,Bug Report,
TKT200312,CUST1025,2025-07-22,2025-07-22,Medium,Billing,6.85
TKT200313,CUST1025,2025-10-05,,Medium,Onboarding,
TKT200314,CUST1025,2025-11-03,2025-11-03,High,Technical Issue,3.06
TKT200315,CUST1025,2025-08-04,2025-08-05,Medium,Technical Issue,47.87
TKT200316,CUST1025,2025-07-10,2025-07-10,High,Integration,15.84
TKT200317,CUST1025,2025-06-28,2025-06-28,High,Integration,23.52
TKT200318,CUST1025,2025-07-15,2025-07-18,Low,Account Access,88.93
TKT200319,CUST1025,2025-12-28,2025-12-28,Low,Onboarding,18.66
TKT200320,CUST1050,2025-08-18,2025-08-21,Low,Technical Issue,84.11
TKT200321,CUST1050,2025-09-07,,Medium,Integration,
TKT200322,CUST1050,2025-08-03,2025-08-04,Medium,Integration,29.19
TKT200323,CUST1050,2025-08-25,2025-08-27,Low,Technical Issue,51.5
TKT200324,CUST1050,2025-09-09,2025-09-12,Low,Billing,92.75
TKT200325,CUST1050,2025-07-28,2025-07-28,High,Bug Report,7.19
TKT200326,CUST1050,2025-08-11,2025-08-11,High,Technical Issue,13.73
TKT200327,CUST1050,2025-08-19,2025-08-19,Medium,Feature Request,12.22
TKT200328,CUST1050,2025-08-23,,High,Bug Report,
TKT200329,CUST1055,2025-08-15,2025-08-15,Medium,Integration,11.35
TKT200330,CUST1055,2025-09-03,2025-09-05,Low,Integration,63.15
TKT200331,CUST1055,2025-10-11,2025-10-12,Medium,Account Access,24.02
TKT200332,CUST1055,2025-10-03,,Low,Onboarding,
TKT200333,CUST1055,2025-09-04,2025-09-06,Low,Account Access,50.7
TKT200334,CUST1045,2025-12-09,2025-12-10,Medium,Bug Report,27.82
TKT200335,CUST1045,2025-11-02,2025-11-02,Critical,Bug Report,7.57
TKT200336,CUST1045,2025-11-16,2025-11-16,High,Bug Report,18.23
TKT200337,CUST1045,2025-10-26,2025-10-29,Low,Billing,84.07
TKT200338,CUST1045,2025-09-30,2025-10-03,Low,Billing,95.56
TKT200339,CUST1045,2025-11-20,2025-11-20,High,Billing,9.8
TKT200340,CUST1045,2025-10-14,2025-10-15,Medium,Integration,37.01
