subscription_id,customer_id,plan_id,start_date,end_date,renewal_date,status,mrr,arr
SUB10023,CUST1012,PLAN104,2024-04-07,2024-07-07,2024-07-07,Churned,124.17,1490.04
SUB10024,CUST1012,PLAN104,2024-07-18,,2026-01-18,Active,124.17,1490.04
SUB10025,CUST1034,PLAN113,2022-04-28,,2026-04-28,Active,399.0,4788.0
SUB10026,CUST1016,PLAN119,2022-05-28,2023-05-28,2023-05-28,Churned,149.0,1788.0
SUB10027,CUST1016,PLAN105,2023-06-24,,2023-12-24,Active,399.0,4788.0
SUB10028,CUST1016,PLAN112,2023-11-06,,2025-11-06,Active,124.17,1490.04
SUB10029,CUST1040,PLAN106,2022-07-13,,2026-07-13,Active,332.5,3990.0
SUB10030,CUST1011,PLAN107,2022-08-04,,2025-08-04,Active,999.0,11988.0
SUB10031,CUST1011,PLAN105,2024-03-01,,2026-03-01,Active,399.0,4788.0
SUB10032,CUST1017,PLAN114,2022-07-10,,2026-07-10,Active,332.5,3990.0
SUB10033,CUST1036,PLAN117,2022-08-24,,2024-08-24,Active,49.0,588.0
SUB10034,CUST1042,PLAN113,2022-09-29,2022-12-29,2022-12-29,Churned,399.0,4788.0
SUB10035,CUST1057,PLAN105,2022-10-14,,2026-10-14,Active,399.0,4788.0
SUB10036,CUST1022,PLAN105,2022-10-09,,2028-10-09,Active,399.0,4788.0
SUB10037,CUST1048,PLAN107,2022-09-22,2023-03-22,2023-03-22,Churned,999.0,11988.0
SUB10038,CUST1048,PLAN108,2023-05-01,2025-05-01,2025-05-01,Churned,832.5,9990.0
SUB10039,CUST1048,PLAN107,2025-05-16,,2026-11-16,Active,999.0,11988.0
SUB10040,CUST1015,PLAN109,2022-10-08,,2024-10-08,Active,49.0,588.0
SUB10041,CUST1010,PLAN112,2022-11-08,,2026-11-08,Active,124.17,1490.04
SUB10042,CUST1024,PLAN105,2022-11-23,,2026-11-23,Active,399.0,4788.0
SUB10043,CUST1038,PLAN113,2023-01-29,,2023-07-29,Active,399.0,4788.0
SUB10044,CUST1041,PLAN109,2023-03-17,2025-03-17,2025-03-17,Churned,49.0,588.0
SUB10045,CUST1041,PLAN123,2025-04-19,,2028-04-19,Active,999.0,11988.0
SUB10046,CUST1018,PLAN110,2023-04-20,,2025-04-20,Active,40.83,489.96
SUB10047,CUST1005,PLAN106,2023-06-16,,2027-06-16,Active,332.5,3990.0
SUB10048,CUST1005,PLAN101,2025-07-25,,2027-07-25,Active,49.0,588.0
SUB10049,CUST1044,PLAN124,2023-08-03,,2026-08-03,Active,832.5,9990.0
SUB10050,CUST1023,PLAN115,2023-08-12,,2026-08-12,Active,999.0,11988.0
SUB10051,CUST1023,PLAN101,2025-11-12,,2027-05-12,Active,49.0,588.0
SUB10052,CUST1028,PLAN101,2023-08-02,2024-08-02,2024-08-02,Churned,49.0,588.0
SUB10053,CUST1035,PLAN107,2023-12-18,2024-12-18,2024-12-18,Churned,999.0,11988.0
SUB10054,CUST1009,PLAN108,2024-01-05,,2026-01-05,Active,832.5,9990.0
SUB10055,CUST1052,PLAN120,2024-02-15,,2024-08-15,Active,124.17,1490.04
SUB10056,CUST1052,PLAN111,2024-06-08,,2027-06-08,Active,149.0,1788.0
SUB10057,CUST1033,PLAN107,2024-01-31,,2026-01-31,Active,999.0,11988.0
SUB10058,CUST1046,PLAN114,2024-03-15,,2026-03-15,Active,332.5,3990.0
SUB10059,CUST1046,PLAN112,2025-04-11,,2028-04-11,Active,124.17,1490.04
SUB10060,CUST1056,PLAN105,2024-04-01,,2026-04-01,Active,399.0,4788.0
SUB10061,CUST1030,PLAN108,2024-04-07,,2024-10-07,Active,832.5,9990.0
SUB10062,CUST1030,PLAN122,2024-08-12,2024-11-12,2024-11-12,Churned,332.5,3990.0
SUB10063,CUST1008,PLAN110,2024-03-14,2024-06-14,2024-06-14,Churned,40.83,489.96
SUB10064,CUST1000,PLAN121,2024-04-20,,2026-04-20,Active,399.0,4788.0
SUB10065,CUST1007,PLAN107,2024-06-09,,2026-06-09,Active,999.0,11988.0
SUB10066,CUST1001,PLAN101,2024-06-18,,2024-12-18,Active,49.0,588.0
SUB10067,CUST1049,PLAN116,2024-06-10,,2024-12-10,Active,832.5,9990.0
SUB10068,CUST1003,PLAN108,2024-08-14,,2025-02-14,Active,832.5,9990.0
SUB10069,CUST1003,PLAN102,2024-11-22,,2027-11-22,Active,40.83,489.96
SUB10070,CUST1003,PLAN102,2025-10-07,,2028-10-07,Active,40.83,489.96
SUB10071,CUST1029,PLAN102,2024-08-03,,2025-08-03,Active,40.83,489.96
SUB10072,CUST1029,PLAN122,2025-02-22,,2026-02-22,Active,332.5,3990.0
SUB10073,CUST1021,PLAN106,2024-09-26,,2026-09-26,Active,332.5,3990.0
SUB10074,CUST1021,PLAN123,2025-11-12,,2026-11-12,Active,999.0,11988.0
SUB10075,CUST1021,PLAN101,2025-07-01,,2026-01-01,Active,49.0,588.0
SUB10076,CUST1051,PLAN124,2024-09-23,,2026-09-23,Active,832.5,9990.0
SUB10077,CUST1006,PLAN114,2024-09-29,,2025-03-29,Active,332.5,3990.0
SUB10078,CUST1058,PLAN113,2024-10-17,,2026-10-17,Active,399.0,4788.0
SUB10079,CUST1058,PLAN110,2025-10-23,,2027-10-23,Active,40.83,489.96
SUB10080,CUST1054,PLAN106,2024-10-16,,2027-10-16,Active,332.5,3990.0
SUB10081,CUST1013,PLAN110,2024-10-20,,2026-10-20,Active,40.83,489.96
SUB10082,CUST1013,PLAN121,2025-08-08,,2026-08-08,Active,399.0,4788.0
SUB10083,CUST1020,PLAN104,2024-10-31,,2026-10-31,Active,124.17,1490.04
SUB10084,CUST1047,PLAN105,2025-01-11,,2026-01-11,Active,399.0,4788.0
SUB10085,CUST1047,PLAN104,2025-09-21,,2027-03-21,Active,124.17,1490.04
SUB10086,CUST1014,PLAN117,2025-01-11,,2026-01-11,Active,49.0,588.0
SUB10087,CUST1025,PLAN117,2025-04-04,,2028-04-04,Active,49.0,588.0
SUB10088,CUST1050,PLAN101,2025-07-16,,2027-01-16,Active,49.0,588.0
SUB10089,CUST1055,PLAN121,2025-09-12,,2027-09-12,Active,399.0,4788.0
SUB10090,CUST1055,PLAN102,2025-08-15,,2027-08-15,Active,40.83,489.96
SUB10091,CUST1045,PLAN124,2025-09-20,,2026-09-20,Active,832.5,9990.0
