opportunity_id,customer_id,expected_close_date,deal_value,stage,probability
OPP300059,CUST1025,2025-07-31,7569.27,Closed Lost,0.0
OPP300060,CUST1020,2025-02-14,1450.04,Qualification,0.25
OPP300061,CUST1007,2025-08-09,87802.6,Qualification,0.25
OPP300062,CUST1016,2024-12-12,19773.17,Needs Analysis,0.4
OPP300063,CUST1026,2025-08-25,121916.01,Closed Won,1.0
OPP300064,CUST1027,2021-07-17,1257.98,Closed Won,1.0
OPP300065,CUST1046,2024-06-22,2209.71,Qualification,0.25
OPP300066,CUST1045,2024-09-12,4842.63,Qualification,0.25
OPP300067,CUST1041,2023-07-26,38896.58,Qualification,0.25
OPP300068,CUST1059,2024-03-04,13630.87,Qualification,0.25
OPP300069,CUST1038,2023-04-19,3530.57,Qualification,0.25
OPP300070,CUST1051,2025-07-21,1508.6,Negotiation,0.8
OPP300071,CUST1019,2026-03-14,15390.86,Prospecting,0.1
OPP300072,CUST1031,2025-03-07,99134.27,Proposal,0.6
OPP300073,CUST1031,2022-01-12,1760.63,Qualification,0.25
OPP300074,CUST1032,2021-09-22,122157.15,Closed Won,1.0
OPP300075,CUST1029,2024-12-16,2332.91,Closed Won,1.0
OPP300076,CUST1037,2021-11-24,86120.18,Proposal,0.6
OPP300077,CUST1045,2025-01-28,28711.98,Needs Analysis,0.4
OPP300078,CUST1041,2023-06-22,21748.32,Closed Won,1.0
OPP300079,CUST1012,2025-02-04,2318.52,Closed Won,1.0
OPP300080,CUST1021,2025-01-02,47694.61,Proposal,0.6
OPP300081,CUST1000,2024-04-25,4811.17,Prospecting,0.1
OPP300082,CUST1048,2022-12-31,28196.79,Negotiation,0.8
OPP300083,CUST1053,2024-10-19,1975.18,Prospecting,0.1
OPP300084,CUST1052,2024-06-21,124614.51,Proposal,0.6
OPP300085,CUST1029,2026-02-21,16614.34,Closed Won,1.0
OPP300086,CUST1009,2025-03-30,1523.43,Closed Won,1.0
OPP300087,CUST1007,2025-11-02,3385.2,Closed Won,1.0
OPP300088,CUST1047,2025-01-14,15076.0,Closed Lost,0.0
OPP300089,CUST1042,2024-11-30,11566.52,Prospecting,0.1
OPP300090,CUST1003,2024-08-11,1766.28,Closed Lost,0.0
OPP300091,CUST1004,2024-02-14,1604.36,Needs Analysis,0.4
OPP300092,CUST1034,2022-04-17,11468.93,Qualification,0.25
OPP300093,CUST1051,2025-02-01,2170.42,Closed Lost,0.0
OPP300094,CUST1052,2024-06-26,108379.19,Qualification,0.25
OPP300095,CUST1004,2023-12-17,20315.61,Needs Analysis,0.4
OPP300096,CUST1022,2022-10-05,2294.09,Prospecting,0.1
OPP300097,CUST1046,2024-06-03,18053.9,Prospecting,0.1
OPP300098,CUST1004,2021-11-30,5046.03,Closed Lost,0.0
OPP300099,CUST1037,2022-03-08,2007.75,Closed Won,1.0
OPP300100,CUST1027,2021-03-08,88252.15,Qualification,0.25
OPP300101,CUST1038,2023-05-13,6277.96,Closed Won,1.0
OPP300102,CUST1040,2022-07-24,21509.66,Negotiation,0.8
OPP300103,CUST1035,2023-12-22,30128.95,Needs Analysis,0.4
OPP300104,CUST1036,2022-12-17,2076.21,Closed Won,1.0
OPP300105,CUST1011,2024-08-24,26288.85,Closed Lost,0.0
OPP300106,CUST1021,2024-09-30,2310.46,Proposal,0.6
OPP300107,CUST1040,2022-06-10,7034.64,Qualification,0.25
OPP300108,CUST1029,2024-10-20,5629.65,Prospecting,0.1
OPP300109,CUST1031,2021-09-30,1208.01,Closed Won,1.0
OPP300110,CUST1022,2022-10-28,2221.92,Prospecting,0.1
OPP300111,CUST1057,2025-05-05,54314.87,Negotiation,0.8
OPP300112,CUST1047,2025-09-25,6269.74,Needs Analysis,0.4
OPP300113,CUST1017,2022-09-15,42206.52,Prospecting,0.1
OPP300114,CUST1058,2026-03-12,6040.21,Proposal,0.6
OPP300115,CUST1025,2025-06-15,28428.64,Qualification,0.25
OPP300116,CUST1044,2024-08-07,17128.76,Proposal,0.6
OPP300117,CUST1016,2022-07-28,22435.67,Closed Won,1.0
OPP300118,CUST1044,2023-08-05,6735.66,Prospecting,0.1
OPP300119,CUST1010,2023-03-15,3077.68,Proposal,0.6
OPP300120,CUST1029,2024-09-14,14772.01,Negotiation,0.8
OPP300121,CUST1035,2024-03-25,1657.1,Prospecting,0.1
OPP300122,CUST1036,2022-09-13,117880.81,Closed Won,1.0
OPP300123,CUST1033,2024-09-06,76961.8,Negotiation,0.8
OPP300124,CUST1027,2021-06-25,14413.14,Needs Analysis,0.4
OPP300125,CUST1012,2022-05-27,22214.01,Closed Won,1.0
OPP300126,CUST1054,2024-12-04,15264.81,Negotiation,0.8
OPP300127,CUST1044,2025-08-01,17611.93,Prospecting,0.1
OPP300128,CUST1051,2024-12-10,30690.02,Proposal,0.6
OPP300129,CUST1027,2026-02-23,6032.21,Closed Won,1.0
OPP300130,CUST1002,2021-07-21,1532.35,Proposal,0.6
OPP300131,CUST1052,2024-02-07,5455.41,Qualification,0.25
OPP300132,CUST1004,2021-07-04,20643.33,Closed Lost,0.0
OPP300133,CUST1017,2024-12-04,6635.32,Prospecting,0.1
OPP300134,CUST1032,2024-09-27,4932.51,Closed Won,1.0
OPP300135,CUST1049,2024-08-02,1515.74,Negotiation,0.8
OPP300136,CUST1023,2025-09-21,1519.84,Closed Won,1.0
OPP300137,CUST1046,2024-06-28,27556.55,Qualification,0.25
OPP300138,CUST1045,2026-01-12,2928.42,Proposal,0.6
OPP300139,CUST1004,2024-06-14,5316.2,Negotiation,0.8
OPP300140,CUST1037,2021-10-25,7281.83,Closed Won,1.0
OPP300141,CUST1012,2022-07-05,43815.0,Prospecting,0.1
OPP300142,CUST1059,2021-10-07,14608.48,Needs Analysis,0.4
OPP300143,CUST1041,2023-02-27,3732.71,Closed Won,1.0
OPP300144,CUST1053,2021-02-09,20502.29,Proposal,0.6
OPP300145,CUST1051,2024-10-04,1831.16,Qualification,0.25
OPP300146,CUST1049,2025-08-29,122398.41,Closed Won,1.0
OPP300147,CUST1045,2026-02-15,42177.53,Closed Lost,0.0
OPP300148,CUST1056,2024-07-19,48597.27,Qualification,0.25
OPP300149,CUST1030,2024-12-27,7578.64,Needs Analysis,0.4
OPP300150,CUST1054,2026-02-14,28470.7,Needs Analysis,0.4
